行ID	話者	文	音声記号列	読み	出どころ
cb01-1		2015年11月12日。韓国の最高裁判所、大法院が、船員15人に判決を出した。	にせんじゅーご'ねん/じゅーいちがつ'/じゅーに'にち。か'んこくの/さいこーさいばんしょ、だいほ'ーいんが、せんいん/じゅーごに'んに/はんけつを/だ'した。	にせんじゅーごねんじゅーいちがつじゅーににち。かんこくのさいこーさいばんしょ、だいほーいんが、せんいんじゅーごにんにはんけつをだした。	auto
cb01-2		裁判官13人の全員で審理した裁判だった。	さいば'んかん/じゅーさんに'んの/ぜんい'んで/し'んりした/さ'いばんだった。	さいばんかんじゅーさんにんのぜんいんでしんりしたさいばんだった。	auto
cb02-1		15人は、船を動かす船長、航海士、操舵手と、機関長ら機関部の船員たちだ。	じゅーごに'んわ、ふ'ねを/うごか'す/せ'んちょー、こーかい'し、そーだ'しゅと、きかんちょ'ーら/きかん'ぶの/せんい'んたちだ。	じゅーごにんわ、ふねをうごかすせんちょー、こーかいし、そーだしゅと、きかんちょーらきかんぶのせんいんたちだ。	auto
cb03-1		船長について、判決は「不作為による殺人」を認めた。	せ'んちょーに/つ'いて、はんけつわ/ふさ'くいによる/さつじんを/みとめた'。	せんちょーについて、はんけつわふさくいによるさつじんをみとめた。	auto
cb03-2	q	不作為って？	ふさ'くいって？	ふさくいって？	auto
cb03-3		しなければならないことを、しないことだ。	しな'ければならないことを、しな'いことだ。	しなければならないことを、しないことだ。	auto
cb04-1		殺人の罪は303人、殺人未遂は152人について。	さつじんの/つ'みわ/さんびゃくさんに'ん、さつじんみ'すいわ/ひゃくごじゅーにに'んに/つ'いて。	さつじんのつみわさんびゃくさんにん、さつじんみすいわひゃくごじゅーににんについて。	auto
cb04-2		船長のこの罪は、裁判官の全員が一致して認めた。	せ'んちょーの/この/つ'みわ、さいば'んかんの/ぜんい'んが/いっちして/みとめた'。	せんちょーのこのつみわ、さいばんかんのぜんいんがいっちしてみとめた。	auto
cb05-1		船長は、乗客を助ける義務をよく知っていた。待たせたままにすれば、	せ'んちょーわ、じょーきゃくを/たすけ'る/ぎ'むを/よ'く/しっていた'。またせた'ままにすれば。	せんちょーわ、じょーきゃくをたすけるぎむをよくしっていた。またせたままにすれば。	auto
cb05-2		乗客が船から出られずに亡くなると、十分に予想していた。判決はそう見た。	じょーきゃくが/ふ'ねから/でられ'ずに/なくなる'と、じゅーぶ'んに/よそーしていた'。はんけつわ/そー/み'た。	じょーきゃくがふねからでられずになくなると、じゅーぶんによそーしていた。はんけつわそーみた。	auto
cb06-1		判決は、こう書いている。	はんけつわ、こー/か'いている。	はんけつわ、こーかいている。	auto
cb06-2		船長が退船させないのは溺死させるのと同じ	せ'んちょーが/たいせんさせ'ないのわ/できしさせ'るのと/おなじ。	せんちょーがたいせんさせないのわできしさせるのとおなじ。	auto
cb07-1		原文は「乗客を、積極的に水に落として溺死させる行為と変わらない」。	げんぶんわ/じょーきゃくを、せっきょくてきに/みずに/おと'して/できしさせ'る/こ'ーいと/かわらな'い。	げんぶんわじょーきゃくを、せっきょくてきにみずにおとしてできしさせるこーいとかわらない。	auto
cb07-2	q	つまり、殺人と同じってこと？	つ'まり、さつじんと/おなじってこ'と？	つまり、さつじんとおなじってこと？	auto
cb07-3		それが、判決の理屈だ。	それが、はんけつの/りくつだ。	それが、はんけつのりくつだ。	auto
cb08-1		1等と2等の航海士、機関長は、殺人の罪では無罪になった。	いっとーと/にとーの/こーかい'し、きかん'ちょーわ、さつじんの/つ'みでわ/む'ざいに/な'った。	いっとーとにとーのこーかいし、きかんちょーわ、さつじんのつみでわむざいになった。	auto
cb08-2		乗客が亡くなってもかまわないと考えていた、とまでは認めにくい、とされた。	じょーきゃくが/なくなって'も/かまわ'ないと/かんが'えていた、とまで'わ/みとめにく'い、とされた'。	じょーきゃくがなくなってもかまわないとかんがえていた、とまでわみとめにくい、とされた。	auto
cb08-3		代わりに、助けるべき人を見捨て、人が亡くなった罪などで、有罪になった。	かわりに、たすけ'るべき/ひとを/みすて、ひとが/なくなった'/つ'みなどで、ゆーざいに/な'った。	かわりに、たすけるべきひとをみすて、ひとがなくなったつみなどで、ゆーざいになった。	auto
cb09-1		一方、大きく舵を切った過失では、3等航海士と当直の操舵手が、2審で無罪になった。	いっぽ'ー、お'ーきく/か'じを/き'った/かしつで'わ、さんとーこ'ーかいしと/とーちょくの/そーだ'しゅが、に'しんで/む'ざいに/な'った。	いっぽー、おーきくかじをきったかしつでわ、さんとーこーかいしととーちょくのそーだしゅが、にしんでむざいになった。	auto
cb09-2		大法院も、この無罪を認めた。	だいほ'ーいんも、この/む'ざいを/みとめた'。	だいほーいんも、このむざいをみとめた。	auto
cb10-1		理由の1つは、舵の部品に不具合が起きた可能性を、打ち消せないことだった。	りゆーの/ひと'つわ、か'じの/ぶひんに/ふぐ'あいが/お'きた/かのーせーを、うちけせ'ないことだった。	りゆーのひとつわ、かじのぶひんにふぐあいがおきたかのーせーを、うちけせないことだった。	auto
cb10-2	q	つまり、故障だった？	つ'まり、こしょーだ'った？	つまり、こしょーだった？	auto
cb10-3		いや、認めてはいない。無かったとも言い切れない、ということだ。	いや'、みとめて'わいない。な'かったとも/いーきれ'ない、と/いうこと'だ。	いや、みとめてわいない。なかったともいーきれない、ということだ。	auto
cb11-1		事故を起こした過失で残ったのは、船長と1等航海士。	じ'こを/おこ'した/かしつで/のこ'ったのわ、せ'んちょーと/いっとーこ'ーかいし。	じこをおこしたかしつでのこったのわ、せんちょーといっとーこーかいし。	auto
cb11-2		中身は、積みすぎと、荷の固縛の不十分さだった。	なか'みわ、つみすぎと、に'の/こばくの/ふじゅ'ーぶんさだった。	なかみわ、つみすぎと、にのこばくのふじゅーぶんさだった。	auto
cb12-1		刑は、船長が無期懲役。1等航海士が懲役12年、機関長が懲役10年。	け'ーわ、せ'んちょーが/むきちょ'ーえき。いっとーこ'ーかいしが/ちょーえき/じゅーに'ねん、きかん'ちょーが/ちょーえき/じゅ'ーねん。	けーわ、せんちょーがむきちょーえき。いっとーこーかいしがちょーえきじゅーにねん、きかんちょーがちょーえきじゅーねん。	auto
cb12-2		2等航海士は7年。3等航海士と当直の操舵手は、見捨てた罪などで5年だった。	にとーこ'ーかいしわ/なな'ねん。さんとーこ'ーかいしと/とーちょくの/そーだ'しゅわ、みすてた/つ'みなどで/ご'ねんだった。	にとーこーかいしわななねん。さんとーこーかいしととーちょくのそーだしゅわ、みすてたつみなどでごねんだった。	auto
cb13-1		船を運航したチョンヘジン海運の代表は、懲役7年。	ふ'ねを/うんこーした'/ちょんへじんか'いうんの/だいひょーわ、ちょーえき/なな'ねん。	ふねをうんこーしたちょんへじんかいうんのだいひょーわ、ちょーえきななねん。	auto
cb13-2		復原力を保っていない船を、航海に使ったことなどが問われた。	ふくげ'んりょくを/たも'っていない/ふ'ねを、こ'ーかいに/つかった'ことなどが/とわれた'。	ふくげんりょくをたもっていないふねを、こーかいにつかったことなどがとわれた。	auto
cb14-1		123艇の艇長は、仕事の不注意で人が亡くなった罪などで、懲役3年が確定した。	ひゃくにじゅーさんてーの/て'ーちょーわ、しごとの/ふちゅ'ーいで/ひとが/なくなった'/つ'みなどで、ちょーえき/さ'んねんが/かくてーした'。	ひゃくにじゅーさんてーのてーちょーわ、しごとのふちゅーいでひとがなくなったつみなどで、ちょーえきさんねんがかくてーした。	auto
cb14-2		事故から12日後の記者会見では、着いてすぐ退船の放送をした、と話していた。	じ'こから/じゅーににちご'の/きしゃか'いけんでわ、つ'いて/す'ぐ/たいせんの/ほーそーをした'、と/はな'していた。	じこからじゅーににちごのきしゃかいけんでわ、ついてすぐたいせんのほーそーをした、とはなしていた。	auto
cb14-3	q	海洋警察の上の人たちは？	かいよーけ'ーさつのうえの/ひと'たちわ？	かいよーけーさつのうえのひとたちわ？	auto
cb15-1		同じ不注意の罪では、幹部10人の全員が無罪で確定した。	おなじ/ふちゅ'ーいの/つ'みでわ、か'んぶ/じゅーに'んの/ぜんい'んが/む'ざいで/かくてーした'。	おなじふちゅーいのつみでわ、かんぶじゅーにんのぜんいんがむざいでかくてーした。	auto
cb15-2		船は9時33分まで、目で分かりにくいほど、ゆっくり傾いていた。	ふ'ねわ/く'じ/さんじゅーさ'んぷんまで、め'で/わかりにくいほど、ゆっく'り/かたむ'いていた。	ふねわくじさんじゅーさんぷんまで、めでわかりにくいほど、ゆっくりかたむいていた。	auto
cb15-3		123艇の詳しい報告から10分あまりで、船に入れなくなるとは予想しにくいとした。	ひゃくにじゅーさんてーの/くわし'い/ほーこくから'/じゅっぷんあ'まりで、ふ'ねに/はいれなくなると'わ/よそーしにく'いとした。	ひゃくにじゅーさんてーのくわしいほーこくからじゅっぷんあまりで、ふねにはいれなくなるとわよそーしにくいとした。	auto
cc01-1		ここで、最初の問いに戻る。	ここで、さいしょの/といに/もど'る。	ここで、さいしょのといにもどる。	auto
cc01-2	q	なぜ、あんなに急に曲がったの？	な'ぜ、あんなに/きゅーに/まが'ったの？	なぜ、あんなにきゅーにまがったの？	auto
cc02-1		2014年12月、海洋安全審判院の報告書は、こう結論づけた。	にせんじゅーよ'ねん/じゅーにがつ'、かいよー/あんぜんしんぱ'んいんの/ほーこくしょわ、こー/けつろんず'けた。	にせんじゅーよねんじゅーにがつ、かいよーあんぜんしんぱんいんのほーこくしょわ、こーけつろんずけた。	auto
cc02-2		当直の操舵手の不適切な舵の使い方で、急に右へ曲がり、左へ大きく傾いた。	とーちょくの/そーだ'しゅの/ふてき'せつな/か'じの/つかいかたで、きゅーに/みぎえ/まがり、ひだりえ/お'ーきく/かたむ'いた。	とーちょくのそーだしゅのふてきせつなかじのつかいかたで、きゅーにみぎえまがり、ひだりえおーきくかたむいた。	auto
cc03-1		ただ、舵をどれだけ大きく、どれだけ長く切ったか、確かめる資料は無いとも書く。	た'だ、か'じを/ど'れだけ/お'ーきく、ど'れだけ/なが'く/き'ったか、たしかめ'る/し'りょーわ/な'いとも/か'く。	ただ、かじをどれだけおーきく、どれだけながくきったか、たしかめるしりょーわないともかく。	auto
cc03-2	q	じゃあ、舵の記録は？	じゃ'ー、か'じの/きろくわ？	じゃー、かじのきろくわ？	auto
cc03-3		船には、航海の記録装置が付いていなかった。	ふ'ねにわ、こ'ーかいの/きろくそ'ーちが/つ'いていなかった。	ふねにわ、こーかいのきろくそーちがついていなかった。	auto
cc04-1		それでも報告書は、船の航跡と模擬の結果から判断した。	それで'も/ほーこくしょわ、ふ'ねの/こーせきと/も'ぎの/けっかから'/は'んだんした。	それでもほーこくしょわ、ふねのこーせきともぎのけっかからはんだんした。	auto
cc04-2		舵を、必要以上に大きく、長く使ったことに、疑いの余地は無いように見える、と。	か'じを、ひつよーい'じょーに/お'ーきく、なが'く/つかった'ことに、うたがいの/よ'ちわ/な'いよーに/みえ'る、と。	かじを、ひつよーいじょーにおーきく、ながくつかったことに、うたがいのよちわないよーにみえる、と。	auto
cc05-1		舵を動かす部品、ソレノイド弁が固まった可能性も、検討された。	か'じを/うごか'す/ぶひん、それのいどべんが/かたまった'/かのーせーも、けんとーされた'。	かじをうごかすぶひん、それのいどべんがかたまったかのーせーも、けんとーされた。	auto
cc05-2		ソレノイド弁は、電気の力で油の通り道を開け閉めする弁だ。	それのいどべんわ、で'んきの/ちから'で/あぶらの/とーり'みちを/あけ'しめする/べ'んだ。	それのいどべんわ、でんきのちからであぶらのとーりみちをあけしめするべんだ。	auto
cc05-3		報告書は、実物の調べで逆の証拠が出ていないとして、船員の話などで退けた。	ほーこくしょわ、じつぶつの/しらべ'で/ぎゃくの/しょーこが/で'ていないとして、せんいんの/はなし'などで/しりぞ'けた。	ほーこくしょわ、じつぶつのしらべでぎゃくのしょーこがでていないとして、せんいんのはなしなどでしりぞけた。	auto
cc06-1		2015年、裁判所は、当直の2人を、船を沈めた過失では無罪にした。	にせんじゅーご'ねん、さいばんしょ'わ、とーちょくの/ふたり'を、ふ'ねを/しずめた'/かしつで'わ/む'ざいにした。	にせんじゅーごねん、さいばんしょわ、とーちょくのふたりを、ふねをしずめたかしつでわむざいにした。	auto
cc06-2		舵やプロペラがちゃんと動いていたかに、疑いが残るからだ。	か'じや/ぷろぺらが/ちゃんと/うご'いていたかに、うたがいが/のこ'る/からだ。	かじやぷろぺらがちゃんとうごいていたかに、うたがいがのこるからだ。	auto
cc07-1		故障があったとも言い切れない。そう書いたうえで、判決はこう続けた。	こしょーが/あ'ったとも/いーきれ'ない。そー/か'いたうえで、はんけつわ/こ'ー/つずけた'。	こしょーがあったともいーきれない。そーかいたうえで、はんけつわこーつずけた。	auto
cc07-2		引き揚げれば、原因が分かるかもしれない	ひきあげ'れば、げんいんが/わか'るかも/しれな'い。	ひきあげれば、げんいんがわかるかもしれない。	auto
cc08-1		ただ、刑事裁判で罪を証明するのは、検察の役目だ。	た'だ、けーじさ'いばんで/つ'みを/しょーめーする'のわ、けんさつの/やくめ'だ。	ただ、けーじさいばんでつみをしょーめーするのわ、けんさつのやくめだ。	auto
cc08-2	q	じゃあ、原因が分からないと？	じゃ'ー、げんいんが/わから'ないと？	じゃー、げんいんがわからないと？	auto
cc08-3		被告人に有利に判断するしかない、とした。	ひこくにんに/ゆ'ーりに/は'んだんするしか/な'い、とした'。	ひこくにんにゆーりにはんだんするしかない、とした。	auto
cc09-1		2017年、セウォル号は海の底から引き揚げられ、モッポ新港に運ばれた。	にせんじゅーなな'ねん、せうぉる'ごーわ/う'みの/そこから'/ひきあげら'れ、も'っぽ/し'んこーに/はこばれた'。	にせんじゅーななねん、せうぉるごーわうみのそこからひきあげられ、もっぽしんこーにはこばれた。	auto
cc09-2		2018年2月、舵を動かす油圧の機器が、工場で開けられた。	にせんじゅーはち'ねん/にがつ'、か'じを/うごか'す/ゆあつの/き'きが、こーじょ'ーで/あけら'れた。	にせんじゅーはちねんにがつ、かじをうごかすゆあつのききが、こーじょーであけられた。	auto
cc10-1		実物の部品を調べたのは、これが初めてだ。	じつぶつの/ぶひんを/しらべた'のわ、これが/はじ'めてだ。	じつぶつのぶひんをしらべたのわ、これがはじめてだ。	auto
cc10-2		2番の操舵ポンプの、ソレノイド弁の鉄の芯が、押された状態で固まっていた。	に'ばんの/そーだぽ'んぷの、それのいどべんの/てつの/し'んが、おされた'/じょーたいで/かたまっていた'。	にばんのそーだぽんぷの、それのいどべんのてつのしんが、おされたじょーたいでかたまっていた。	auto
cc11-1	q	じゃあ、それが原因？	じゃ'ー、それが/げんいん？	じゃー、それがげんいん？	auto
cc11-2		2018年、船体を調べる委員会は、1つの結論を出せなかった。	にせんじゅーはち'ねん、せんたいを/しらべ'る/いい'んかいわ、ひと'つの/けつろんを/だせ'なかった。	にせんじゅーはちねん、せんたいをしらべるいいんかいわ、ひとつのけつろんをだせなかった。	auto
cc11-3		船の内側の原因とする案と、外からの力を否定しきれない案に、分かれた。	ふ'ねの/うちがわの/げんいんとする/あ'んと、そ'とからの/ちから'を/ひてーしきれ'ない/あ'んに、わか'れた。	ふねのうちがわのげんいんとするあんと、そとからのちからをひてーしきれないあんに、わかれた。	auto
cc12-1		2022年、国の特別調査委員会が報告書を出した。	にせんにじゅーに'ねん、くにの/とくべつちょーさいい'んかいが/ほーこくしょを/だ'した。	にせんにじゅーにねん、くにのとくべつちょーさいいんかいがほーこくしょをだした。	auto
cc12-2		弁が固まったことが急な右旋回と傾きを起こした可能性は、非常に低いとした。	べ'んが/かたまった'ことが/きゅーな/みぎせ'んかいと/かたむきを/おこ'した/かのーせーわ、ひじょーに/ひく'いとした。	べんがかたまったことがきゅーなみぎせんかいとかたむきをおこしたかのーせーわ、ひじょーにひくいとした。	auto
cc13-1		委員会は、船体の傷が外からの衝撃による可能性を、打ち消せなかった。	いい'んかいわ、せんたいの/きずが/そ'とからの/しょーげきによる/かのーせーを、うちけせ'なかった。	いいんかいわ、せんたいのきずがそとからのしょーげきによるかのーせーを、うちけせなかった。	auto
cc13-2	q	衝撃で、沈んだの？	しょーげきで、しずんだ'の？	しょーげきで、しずんだの？	auto
cc13-3		それは、確認されなかった。	それわ、かくにんされ'なかった。	それわ、かくにんされなかった。	auto
cc14-1		2026年1月、中央海洋安全審判院が裁決を出した。	にせんにじゅーろく'ねん/いちがつ'、ちゅーおーか'いよー/あんぜんしんぱ'んいんが/さ'いけつを/だ'した。	にせんにじゅーろくねんいちがつ、ちゅーおーかいよーあんぜんしんぱんいんがさいけつをだした。	auto
cc14-2		結論の主文は、安全管理の怠り、足りない復原力、積みすぎを挙げる。	けつろんの/しゅぶんわ、あんぜんか'んりの/おこた'り、たりな'い/ふくげ'んりょく、つみすぎを/あげる。	けつろんのしゅぶんわ、あんぜんかんりのおこたり、たりないふくげんりょく、つみすぎをあげる。	auto
cc14-3		曲がる途中の急な傾きと、荷の片寄りも。	まがる/とちゅーの/きゅーな/かたむきと、に'の/かたよ'りも。	まがるとちゅーのきゅーなかたむきと、にのかたよりも。	auto
cc15-1		舵の使い方も、舵の故障も、主文には書かれていない。	か'じの/つかいかたも、か'じの/こしょーも、しゅぶんに'わ/かかれていな'い。	かじのつかいかたも、かじのこしょーも、しゅぶんにわかかれていない。	auto
cc15-2		理由の部分は、大きく舵を切った可能性が非常に高く、そこに故障が重なったと見る。	りゆーの/ぶ'ぶんわ、お'ーきく/か'じを/き'った/かのーせーが/ひじょーに/たか'く、そこに/こしょーが/かさなった'と/み'る。	りゆーのぶぶんわ、おーきくかじをきったかのーせーがひじょーにたかく、そこにこしょーがかさなったとみる。	auto
cc15-3		ただ、操舵手を責めることはできない、とする。	た'だ、そーだ'しゅを/せめ'ることわ/でき'ない、とする。	ただ、そーだしゅをせめることわできない、とする。	auto
cc16-1		なぜ急に曲がったかは、今も1つに決まっていない。	な'ぜ/きゅーに/まが'ったかわ、い'まも/ひと'つに/きまっていな'い。	なぜきゅーにまがったかわ、いまもひとつにきまっていない。	auto
cc16-2	q	じゃあ、決まっていることは？	じゃ'ー、きまっている'ことわ？	じゃー、きまっていることわ？	auto
cc16-3		主文は、大勢が亡くなった主な原因を、船員が乗客を積極的に助けなかったこととする。	しゅぶんわ、おーぜ'ーが/なくなった'/お'もな/げんいんを、せんいんが/じょーきゃくを/せっきょくてきに/たすけ'なかったこととする。	しゅぶんわ、おーぜーがなくなったおもなげんいんを、せんいんがじょーきゃくをせっきょくてきにたすけなかったこととする。	auto
cd01-1		事故の6日後、アンサン市のダンウォン高校。	じ'この/むいかご'、あんさ'んしの/だんうぉんこ'ーこー。	じこのむいかご、あんさんしのだんうぉんこーこー。	auto
cd01-2		学校には、花やメモが寄せられていた。	がっこーに'わ、はな'や/め'もが/よせら'れていた。	がっこーにわ、はなやめもがよせられていた。	auto
cd02-1		校門の幕には、こう書かれていた。	こーもんの/まく'にわ、こー/かかれていた'。	こーもんのまくにわ、こーかかれていた。	auto
cd02-2		「無事に家へ帰ってくることを、切に願います」	ぶじに/いえ'え/か'えってくることを、せ'つに/ねがいま'す。	ぶじにいええかえってくることを、せつにねがいます。	auto
cd03-1		ソウルの広場には、「ごめんなさい」と書かれた幕が掲げられた。	そ'うるの/ひ'ろばにわ、ごめんなさ'い/と/かかれた'/まく'が/かかげら'れた。	そうるのひろばにわ、ごめんなさいとかかれたまくがかかげられた。	auto
cd03-2		黄色いリボンが、いくつも結ばれた。	きいろい/り'ぼんが、い'くつも/むすばれた'。	きいろいりぼんが、いくつもむすばれた。	auto
cd04-1		生徒たちが通った学校のあるアンサンの町にも、リボンと横断幕が並んだ。	せ'ーとたちが/かよったがっこーの/あ'る/あ'んさんの/まち'にも、り'ぼんと/おーだ'んまくが/ならんだ'。	せーとたちがかよったがっこーのあるあんさんのまちにも、りぼんとおーだんまくがならんだ。	auto
cd05-1		2018年3月、ソウルのクァンファムン広場の追悼の場所。	にせんじゅーはち'ねん/さ'んがつ、そ'うるの/くぁんふぁむんひ'ろばの/ついとーの/ばしょ。	にせんじゅーはちねんさんがつ、そうるのくぁんふぁむんひろばのついとーのばしょ。	auto
cd05-2		2026年の裁決の表では、犠牲者は304人。	にせんにじゅーろく'ねんの/さ'いけつの/ひょーで'わ、ぎせ'ーしゃわ/さんびゃくよに'ん。	にせんにじゅーろくねんのさいけつのひょーでわ、ぎせーしゃわさんびゃくよにん。	auto
cd05-3		行方不明だった9人のうち、5人は見つからないまま、とされる。	ゆくえ/ふめーだ'った/きゅーに'んのうち、ごに'んわ/みつからな'いまま、とされ'る。	ゆくえふめーだったきゅーにんのうち、ごにんわみつからないまま、とされる。	auto
cd06-1		報告書の改善点の1つは、救命胴衣を、客室の外の退船の場所にも置くこと。	ほーこくしょの/かいぜ'んてんの/ひと'つわ、きゅーめーど'ーいを、きゃくしつの/そ'との/たいせんの/ばしょに'も/おくこと'。	ほーこくしょのかいぜんてんのひとつわ、きゅーめーどーいを、きゃくしつのそとのたいせんのばしょにもおくこと。	auto
cd06-2		そこに予備があれば、救命胴衣を人に渡して客室へ戻る人は、いなかったはずだと。	そこに/よ'びが/あれ'ば、きゅーめーど'ーいを/ひとに/わたして/きゃくしつえ/もど'る/ひとわ、いな'かったはずだと。	そこによびがあれば、きゅーめーどーいをひとにわたしてきゃくしつえもどるひとわ、いなかったはずだと。	auto
cd07-1		判決は、乗客たちが退船の指示を待ちながら、船の中にとどまっていたと書く。	はんけつわ、じょーきゃく'たちが/たいせんの/し'じを/まちな'がら、ふ'ねのなかに/とどま'っていたと/か'く。	はんけつわ、じょーきゃくたちがたいせんのしじをまちながら、ふねのなかにとどまっていたとかく。	auto
cd07-2	q	その指示は？	その/し'じわ？	そのしじわ？	auto
cd07-3		最後まで来なかった。	さ'いごまで/こ'なかった。	さいごまでこなかった。	auto
cd08-1		この事故は、どこで防げたと思いますか。	この/じ'こわ、ど'こで/ふせ'げたと/おもいま'すか。	このじこわ、どこでふせげたとおもいますか。	auto
cd08-2		あなたが、船内の放送で何を伝えるかを決める立場だったら、どうしたでしょうか。	あな'たが、せ'んないの/ほーそーで/な'にを/つたえる'かを/きめる/た'ちばだったら、ど'ーしたでしょーか。	あなたが、せんないのほーそーでなにをつたえるかをきめるたちばだったら、どーしたでしょーか。	auto
cd08-3		よければ、コメントで教えてください。	よ'ければ、こめんとで/おしえてくださ'い。	よければ、こめんとでおしえてください。	auto
ed01-1		ご視聴ありがとうございました。	ごしちょー/あり'がとー/ございま'した。	ごしちょーありがとーございました。	auto
ed01-2		この動画が少しでも気に入れば、高評価と	この/どーがが/すこ'しでも/きにい'れば、こ'ーひょーかと。	このどーががすこしでもきにいれば、こーひょーかと。	auto
ed01-3		チャンネル登録をお願いします。	ちゃんねると'ーろくを/おねがいしま'す。	ちゃんねるとーろくをおねがいします。	auto
